"id","subc_id","bio1_min","bio1_max","bio1_mean","bio1_sd","bio12_min","bio12_max","bio12_mean","bio12_sd","bio15_min","bio15_max","bio15_mean","bio15_sd"
4058476646,507745870,9.75,9.75,9.75,0,591.5,593.3,591.86,0.72,20.3,20.3,20.3,0
4058547539,507191030,9.45,9.45,9.45,0,596.3,596.3,596.3,0,17.7,17.7,17.7,0
4058453539,507217794,9.55,9.55,9.55,0,585,586,585.4512,0.4464,18,18,18,0
4058460539,507289680,9.45,9.55,9.4854,0.0478,584.4,585.7,584.7861,0.3942,18.4,18.4,18.4,0
4058476656,507613151,9.75,9.85,9.7574,0.0261,608,612.1,611.4382,1.3803,19.6,19.6,19.6,0
4058477664,507959121,9.75,9.75,9.75,0,585.3,585.9,585.4946,0.1754,21.6,21.7,21.6838,0.0369
4058567006,507970390,9.75,9.75,9.75,0,595.6,602.5,598.1674,3.3352,18.8,18.8,18.8,0
4058497128,507074089,9.55,9.55,9.55,0,568.8,571.8,570.4304,1.4943,18,18,18,0
4058567611,506890404,9.05,9.15,9.0733,0.0423,626.5,629.5,627.5333,1.3034,16.1,16.1,16.1,0
4058550293,506406239,8.85,8.95,8.8571,0.0258,918,927.1,926.45,2.3436,16.8,16.9,16.8929,0.0258
4058632286,506481192,9.05,9.05,9.05,0,879,880.1,879.2037,0.4273,17.1,17.1,17.1,0
4058466448,506228713,8.65,8.75,8.6518,0.0134,879.3,887.6,883.9027,1.5494,23.6,23.7,23.6073,0.026
4058469467,506360643,8.75,8.75,8.75,0,851.9,853.8,853.387,0.7837,16.8,16.8,16.8,0
4058561460,506360643,8.75,8.75,8.75,0,851.9,853.8,853.387,0.7837,16.8,16.8,16.8,0
4058556468,506360643,8.75,8.75,8.75,0,851.9,853.8,853.387,0.7837,16.8,16.8,16.8,0
4058632307,506324720,8.85,8.85,8.85,0,789.4,793.6,793.25,1.1608,16.7,16.8,16.7917,0.0276
4058469476,506327181,9.05,9.05,9.05,0,777.6,786.8,786.34,2.0051,16.3,16.3,16.3,0
4058550272,506614990,9.15,9.15,9.15,0,738.4,744.1,741.8736,1.0826,14.7,14.7,14.7,0
4058632295,506627827,9.15,9.25,9.1844,0.0475,745.1,745.2,745.1656,0.0475,14.7,14.7,14.7,0
4058469473,506629415,9.15,9.25,9.214,0.048,741.2,745.2,743.88,1.788,14.7,14.7,14.7,0
4058605518,506813868,9.45,9.45,9.45,0,648.3,649.5,648.7941,0.5906,15.5,15.6,15.5412,0.0492
4058475630,506850770,9.15,9.25,9.2077,0.0494,634.6,637.1,635.4769,1.0334,16.6,16.7,16.6077,0.0266
4058477636,506850770,9.15,9.25,9.2077,0.0494,634.6,637.1,635.4769,1.0334,16.6,16.7,16.6077,0.0266
4058565633,506850770,9.15,9.25,9.2077,0.0494,634.6,637.1,635.4769,1.0334,16.6,16.7,16.6077,0.0266
4058521626,506850770,9.15,9.25,9.2077,0.0494,634.6,637.1,635.4769,1.0334,16.6,16.7,16.6077,0.0266
4058477638,506850770,9.15,9.25,9.2077,0.0494,634.6,637.1,635.4769,1.0334,16.6,16.7,16.6077,0.0266
4058567630,506850770,9.15,9.25,9.2077,0.0494,634.6,637.1,635.4769,1.0334,16.6,16.7,16.6077,0.0266
4058602616,506850770,9.15,9.25,9.2077,0.0494,634.6,637.1,635.4769,1.0334,16.6,16.7,16.6077,0.0266
4058521617,506850770,9.15,9.25,9.2077,0.0494,634.6,637.1,635.4769,1.0334,16.6,16.7,16.6077,0.0266
4058544121,507522811,9.65,9.65,9.65,0,542.4,542.6,542.545,0.0893,20.7,20.7,20.7,0
4058498116,507268322,9.65,9.65,9.65,0,568.5,570.1,569.3896,0.5548,20.2,20.3,20.2746,0.0435
4058503118,507268322,9.65,9.65,9.65,0,568.5,570.1,569.3896,0.5548,20.2,20.3,20.2746,0.0435
4058496129,507268322,9.65,9.65,9.65,0,568.5,570.1,569.3896,0.5548,20.2,20.3,20.2746,0.0435
4058586138,507675140,9.65,9.75,9.7081,0.0493,551.5,552.4,551.8774,0.4441,21.2,21.2,21.2,0
4058462953,508172953,9.85,10.25,10.1357,0.0687,995.5,1009.5,1002.1111,2.1304,11.6,11.6,11.6,0
4058610978,509632917,9.55,9.55,9.55,0,906.4,906.4,906.4,0,13.2,13.2,13.2,0
4058489972,509733563,9.75,9.85,9.8,0.05,908.2,915.9,911.2,2.5865,14.1,14.2,14.1857,0.035
4058463953,508126854,10.05,10.15,10.0929,0.0495,950.1,957.5,953.2714,3.6621,11.7,11.7,11.7,0
4058555949,507946578,10.05,10.05,10.05,0,874.8,874.8,874.8,0,11.9,11.9,11.9,0
4058598955,507919891,10.05,10.05,10.05,0,866.3,867.4,867.0586,0.5089,12.1,12.1,12.1,0
4058470950,507670803,9.95,9.95,9.95,0,815.8,815.8,815.8,0,13.5,13.5,13.5,0
4058464947,507935796,10.05,10.15,10.0786,0.0452,894.4,898.5,895.7762,1.5222,12.2,12.3,12.2714,0.0452
4058602620,507258497,9.55,9.55,9.55,0,535.9,535.9,535.9,0,24.3,24.3,24.3,0
4058565666,507258497,9.55,9.55,9.55,0,535.9,535.9,535.9,0,24.3,24.3,24.3,0
4058477670,507487349,9.65,9.65,9.65,0,564.4,564.8,564.7263,0.1551,20.8,20.9,20.8816,0.0388
4058521606,506752936,8.65,8.75,8.7483,0.013,603.8,605.2,604.6914,0.6686,17.2,17.2,17.2,0
4058497123,507860206,9.75,9.75,9.75,0,582.6,583,582.8435,0.1861,19.2,19.3,19.2913,0.0282
4058518007,508574867,8.65,9.05,8.96,0.12,686.1,692.6,687.74,2.1557,24.3,24.4,24.3175,0.038
4058521654,507778362,9.65,9.75,9.7121,0.0485,600.1,602.1,600.4629,0.3762,21.6,21.8,21.6718,0.0468
4058476642,507774859,9.75,9.75,9.75,0,583.2,585.2,583.4222,0.6285,20.4,20.5,20.4889,0.0314
4058602645,507774859,9.75,9.75,9.75,0,583.2,585.2,583.4222,0.6285,20.4,20.5,20.4889,0.0314
4058602643,507774859,9.75,9.75,9.75,0,583.2,585.2,583.4222,0.6285,20.4,20.5,20.4889,0.0314
4058475643,507735270,9.75,9.85,9.7541,0.0198,593.7,595.1,594.9061,0.3536,20.1,20.2,20.1082,0.0274
4058565637,507557088,9.65,9.75,9.69,0.049,594.8,596.8,596.015,0.7518,19.4,19.4,19.4,0
4058521615,507021712,9.35,9.35,9.35,0,540.9,548.2,546.4356,2.8625,23.5,23.5,23.5,0
4058475645,506846173,8.95,9.15,9.113,0.0675,532.7,538.2,536.4778,1.4359,22.2,22.3,22.2852,0.0355
4058565622,506810418,9.15,9.15,9.15,0,525.7,530.4,527.4533,2.024,23.6,23.7,23.6567,0.0496
4058567642,506729840,9.05,9.05,9.05,0,556,556.1,556.0909,0.0287,23.5,23.5,23.5,0
4058602639,506769097,9.05,9.15,9.1071,0.0495,533.7,538.4,535.7143,2.3259,23.4,23.5,23.4571,0.0495
4058567616,507427665,9.55,9.55,9.55,0,571.2,571.2,571.2,0,21.3,21.3,21.3,0
4058567617,507180672,9.45,9.45,9.45,0,527,528,527.5778,0.4939,25.6,25.7,25.6578,0.0494
4058549291,506736480,8.75,8.75,8.75,0,595.4,595.8,595.6235,0.1986,16.7,16.7,16.7,0
4058506298,506733588,8.75,8.85,8.8333,0.0373,590.7,591.6,590.85,0.2291,15.9,16,15.9167,0.0373
4058616136,507833894,9.75,9.75,9.75,0,576.4,576.8,576.4769,0.1576,20.1,20.2,20.1808,0.0394
4058567007,507999819,9.75,9.75,9.75,0,594.6,596.5,596.2765,0.6122,19.4,19.5,19.4118,0.0322
4058498130,507811042,9.75,9.75,9.75,0,573.7,573.7,573.7,0,17.9,18,17.9404,0.0491
4058586126,507757789,9.65,9.75,9.663,0.0337,609.5,619.1,617.8478,3.2331,16.3,16.3,16.3,0
4058498127,507757789,9.65,9.75,9.663,0.0337,609.5,619.1,617.8478,3.2331,16.3,16.3,16.3,0
4058555959,507922048,9.85,9.95,9.8867,0.0482,880.9,881.3,881.1184,0.171,12.1,12.2,12.1286,0.0452
4058481643,506838905,8.95,8.95,8.95,0,612.3,615.2,615.048,0.5693,15.7,15.7,15.7,0
4058619292,506626679,8.85,8.95,8.9023,0.0499,554.7,557.9,555.3306,0.9655,18.2,18.3,18.2973,0.0162
4058506300,506626679,8.85,8.95,8.9023,0.0499,554.7,557.9,555.3306,0.9655,18.2,18.3,18.2973,0.0162
